row_number,id,time,variable,value,date,daily_screen_time,app_gt_screen,difference
1017871,AS14.14,2014-04-26 12:33:12.796,appCat.builtin,9265.247,2014-04-26,184.45900034904489,True,9080.787999650955
157587,AS14.26,2014-05-09 01:56:58.762,appCat.builtin,17027.017,2014-05-09,8174.018999099728,True,8852.998000900272
227225,AS14.33,2014-05-03 05:31:20.411,appCat.builtin,11001.113,2014-05-03,2491.0599997043605,True,8510.053000295638
1136651,AS14.17,2014-04-30 00:34:42.088,appCat.builtin,11258.472,2014-04-30,3284.8539996147174,True,7973.618000385282
1132101,AS14.17,2014-04-27 22:08:27.967,appCat.builtin,12760.375,2014-04-27,4989.777999639509,True,7770.597000360491
211347,AS14.31,2014-04-18 01:11:56.026,appCat.builtin,18186.866,2014-04-18,10604.005999326711,True,7582.86000067329
299512,AS14.08,2014-04-25 15:54:49.223,appCat.communication,9388.152,2014-04-25,2004.8570005893716,True,7383.294999410628
1981443,AS14.17,2014-05-03 21:12:12.540,appCat.travel,10452.615,2014-05-03,3205.657999992369,True,7246.957000007631
1126631,AS14.17,2014-04-24 23:38:14.762,appCat.builtin,14392.124,2014-04-24,8335.326000928884,True,6056.797999071116
1014281,AS14.14,2014-04-17 02:07:25.668,appCat.builtin,6723.737,2014-04-17,801.4089996814732,True,5922.328000318526
493248,AS14.03,2014-04-12 19:49:44.451,appCat.entertainment,8080.612,2014-04-12,2492.8179993629456,True,5587.7940006370545
1013091,AS14.14,2014-04-11 20:38:48.111,appCat.builtin,5477.614,2014-04-11,552.9420001506808,True,4924.671999849319
1696817,AS14.08,2014-03-17 21:46:56.157,appCat.social,6343.129,2014-03-17,1418.689000129699,True,4924.439999870301
1019831,AS14.14,2014-05-05 12:00:22.125,appCat.builtin,4642.389,2014-05-05,199.8310003280639,True,4442.557999671936
153267,AS14.26,2014-04-19 14:01:09.582,appCat.builtin,7519.211,2014-04-19,3189.7760007381466,True,4329.434999261854
255811,AS14.01,2014-03-28 00:17:42.382,appCat.builtin,9162.685,2014-03-28,4923.48899960518,True,4239.19600039482
351537,AS14.19,2014-04-16 23:16:05.796,appCat.communication,5889.734,2014-04-16,1871.9100003242488,True,4017.8239996757516
1014141,AS14.14,2014-04-16 19:19:16.790,appCat.builtin,4673.828,2014-04-16,742.986000061035,True,3930.8419999389653
1360733,AS14.29,2014-05-03 12:34:14.911,appCat.office,5691.982,2014-05-03,1832.0990004539487,True,3859.882999546051
631221,AS14.08,2014-03-20 10:44:12.150,appCat.builtin,4759.967,2014-03-20,1096.5499994754791,True,3663.4170005245205
299814,AS14.08,2014-05-01 16:16:46.180,appCat.communication,9028.996,2014-05-01,5458.796000480648,True,3570.199999519351
144947,AS14.25,2014-04-11 22:21:25.641,appCat.builtin,10007.314,2014-04-11,6472.98200058937,True,3534.3319994106305
206556,AS14.30,2014-04-26 02:39:55.861,appCat.builtin,16041.799,2014-04-26,12684.299000740062,True,3357.4999992599387
1699590,AS14.08,2014-04-20 20:55:18.823,appCat.social,4568.458,2014-04-20,1317.5869996547704,True,3250.8710003452293
296708,AS14.08,2014-03-22 20:06:29.405,appCat.communication,4077.823,2014-03-22,866.5940003395078,True,3211.2289996604923
1011561,AS14.14,2014-04-08 10:47:46.111,appCat.builtin,3541.475,2014-04-08,452.85699939727783,True,3088.618000602722
1006431,AS14.14,2014-03-30 21:04:12.770,appCat.builtin,5326.871,2014-03-30,2666.268000602723,True,2660.602999397277
1014831,AS14.14,2014-04-17 22:47:16.088,appCat.builtin,3420.071,2014-04-17,801.4089996814732,True,2618.6620003185267
296328,AS14.08,2014-03-17 10:13:13.134,appCat.communication,3987.615,2014-03-17,1418.689000129699,True,2568.925999870301
1013591,AS14.14,2014-04-15 10:52:53.789,appCat.builtin,2875.169,2014-04-15,321.80199980735784,True,2553.367000192642
1501765,AS14.14,2014-04-14 10:52:06.484,appCat.other,2841.417,2014-04-14,327.7780001163484,True,2513.6389998836516
334443,AS14.14,2014-04-06 11:04:20.492,appCat.communication,3690.398,2014-04-06,1263.3870003223412,True,2427.010999677659
1463814,AS14.08,2014-03-23 21:09:39.556,appCat.other,3717.61,2014-03-23,1374.581000328064,True,2343.028999671936
319433,AS14.13,2014-03-18 13:55:38.016,appCat.communication,4862.539,2014-03-18,2748.7139985561375,True,2113.825001443862
1011751,AS14.14,2014-04-08 17:24:07.194,appCat.builtin,2515.215,2014-04-08,452.85699939727783,True,2062.3580006027223
1139701,AS14.17,2014-05-02 15:28:58.736,appCat.builtin,4639.512,2014-05-02,2847.155001163481,True,1792.3569988365189
1172201,AS14.19,2014-04-10 16:13:21.362,appCat.builtin,2694.156,2014-04-10,1047.3950006961823,True,1646.7609993038177
1155761,AS14.19,2014-03-30 17:36:51.960,appCat.builtin,2540.824,2014-03-30,1024.7169997692104,True,1516.1070002307897
1014751,AS14.14,2014-04-17 19:30:51.950,appCat.builtin,2297.888,2014-04-17,801.4089996814732,True,1496.4790003185267
369194,AS14.24,2014-04-20 00:05:58.285,appCat.communication,5088.935,2014-04-20,3862.732000112534,True,1226.2029998874664
1465217,AS14.08,2014-04-09 12:24:44.835,appCat.other,3527.141,2014-04-09,2404.4000003337856,True,1122.7409996662145
334509,AS14.14,2014-04-06 23:00:02.861,appCat.communication,2355.743,2014-04-06,1263.3870003223412,True,1092.3559996776587
1015641,AS14.14,2014-04-21 10:56:32.151,appCat.builtin,1652.817,2014-04-21,596.8669996261601,True,1055.9500003738399
1360843,AS14.29,2014-05-04 18:11:33.262,appCat.office,4196.913,2014-05-04,3147.8140001296997,True,1049.0989998702998
298495,AS14.08,2014-04-12 08:48:09.273,appCat.communication,1775.888,2014-04-12,767.0680000782011,True,1008.8199999217989
1017461,AS14.14,2014-04-25 09:14:42.821,appCat.builtin,1776.106,2014-04-25,805.6799995899205,True,970.4260004100795
157586,AS14.26,2014-05-08 23:09:44.473,appCat.builtin,10034.288,2014-05-08,9094.682999610903,True,939.6050003890978
1054514,AS14.20,2014-04-01 18:17:02.648,appCat.game,953.245,2014-04-01,29.6319999694824,True,923.6130000305176
657391,AS14.08,2014-04-20 16:19:14.566,appCat.builtin,2240.724,2014-04-20,1317.5869996547704,True,923.1370003452298
1974245,AS14.17,2014-03-31 10:07:30.479,appCat.travel,6735.321,2014-03-31,5835.675001382826,True,899.645998617174
296905,AS14.08,2014-03-25 21:38:20.401,appCat.communication,1400.141,2014-03-25,726.2829999923706,True,673.8580000076295
1016291,AS14.14,2014-04-22 14:42:37.246,appCat.builtin,1401.541,2014-04-22,727.9210000038145,True,673.6199999961855
322725,AS14.13,2014-04-02 01:08:35.457,appCat.communication,9830.777,2014-04-02,9194.638997077942,True,636.1380029220581
297513,AS14.08,2014-04-02 10:38:58.394,appCat.communication,1327.153,2014-04-02,696.810000658035,True,630.342999341965
1055096,AS14.20,2014-04-13 07:58:12.273,appCat.game,569.675,2014-04-13,5.01699995994568,True,564.6580000400543
1194201,AS14.19,2014-04-26 18:52:56.344,appCat.builtin,1901.47,2014-04-26,1374.8749997615814,True,526.5950002384186
336447,AS14.15,2014-04-29 19:47:43.177,appCat.communication,503.419,2014-04-29,55.15400004386904,True,448.26499995613096
1204551,AS14.19,2014-05-04 15:28:40.025,appCat.builtin,3120.882,2014-05-04,2679.487000226974,True,441.39499977302603
1699018,AS14.08,2014-04-13 19:58:09.466,appCat.social,2411.911,2014-04-13,2078.960000276566,True,332.95099972343405
1008131,AS14.14,2014-04-02 08:51:29.594,appCat.builtin,1047.611,2014-04-02,779.8729991912842,True,267.7380008087159
1054837,AS14.20,2014-04-07 00:07:42.992,appCat.game,530.69,2014-04-07,290.2020001411439,True,240.48799985885614
781811,AS14.12,2014-04-11 22:25:13.091,appCat.builtin,5083.798,2014-04-11,4888.1749980449695,True,195.6230019550303
430167,AS14.29,2014-05-14 07:57:03.233,appCat.communication,199.676,2014-05-14,7.43600010871887,True,192.23999989128112
2221158,AS14.20,2014-03-20 22:31:20.286,appCat.unknown,545.854,2014-03-20,369.4009997844696,True,176.45300021553044
1503269,AS14.15,2014-04-19 21:50:06.377,appCat.other,596.714,2014-04-19,452.47200012206986,True,144.2419998779302
1830596,AS14.29,2014-05-14 07:55:04.374,appCat.social,118.846,2014-05-14,7.43600010871887,True,111.40999989128113
337201,AS14.16,2014-04-03 15:32:27.816,appCat.communication,219.662,2014-04-03,138.8190000057221,True,80.8429999942779
1656527,AS14.02,2014-04-22 17:49:16.479,appCat.social,93.87,2014-04-22,13.08000016212468,True,80.78999983787533
1042561,AS14.16,2014-04-15 11:56:21.536,appCat.builtin,75.477,2014-04-15,4.1340000629425,True,71.3429999370575
1023231,AS14.15,2014-03-27 07:05:13.980,appCat.builtin,49.808,2014-03-27,0.462000131607056,True,49.345999868392944
1755065,AS14.20,2014-04-07 00:25:27.397,appCat.social,335.684,2014-04-07,290.2020001411439,True,45.48199985885611
1042581,AS14.16,2014-04-15 11:58:11.401,appCat.builtin,41.274,2014-04-15,4.1340000629425,True,37.1399999370575
1738094,AS14.16,2014-04-15 11:59:42.969,appCat.social,35.166,2014-04-15,4.1340000629425,True,31.031999937057495
337662,AS14.16,2014-04-15 11:57:37.049,appCat.communication,34.349,2014-04-15,4.1340000629425,True,30.214999937057495
337665,AS14.16,2014-04-15 12:00:18.358,appCat.communication,10.636,2014-04-15,4.1340000629425,True,6.501999937057499
1755600,AS14.20,2014-04-21 15:06:00.683,appCat.social,723.048,2014-04-21,719.6380009651183,True,3.4099990348817073
1020161,AS14.15,2014-03-17 20:33:10.572,appCat.builtin,4.039,2014-03-17,0.694999933242798,True,3.344000066757202
1214771,AS14.20,2014-04-13 08:07:41.950,appCat.builtin,7.435,2014-04-13,5.01699995994568,True,2.41800004005432
1020151,AS14.15,2014-03-17 20:18:48.920,appCat.builtin,2.605,2014-03-17,0.694999933242798,True,1.9100000667572021
1830598,AS14.29,2014-05-14 08:00:23.009,appCat.social,8.62,2014-05-14,7.43600010871887,True,1.183999891281129
337666,AS14.16,2014-04-15 15:34:45.716,appCat.communication,5.151,2014-04-15,4.1340000629425,True,1.0169999370574994
1208931,AS14.20,2014-04-01 00:31:19.302,appCat.builtin,29.641,2014-04-01,29.6319999694824,True,0.00900003051759768
